Categories,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Name,Псевдоним,Regular price,Short description,Description,_aioseop_title,Усиленная дверная коробка B90,Изображение,Images,Gallery,Attribute 2 name,Алюминиевый нащельник,Открывание,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Цвет иллюминатора,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,_aioseop_keywords,Attribute 4 name,Свободный атрибут,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,_aioseop_description,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global
Погонаж,Серия,Доборы,1,1,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,2118,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,,__________________________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,Размер,,,1,1,Добор белый прямой ПВХ 250 мм для дверей POSEIDON,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Доборы,1,1,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,1810,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,,__________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________1.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,Размер,,,1,1,Добор серый прямой ПВХ 200 мм для дверей POSEIDON,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Доборы,1,1,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,2262,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,,__________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________1.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,Размер,,,1,1,Добор серый прямой ПВХ 250 мм для дверей POSEIDON,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Доборы,1,1,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,1810,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,,________________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/________________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/________________________________________1.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,Размер,,,1,1,Добор крем матовый прямой ПВХ 200 мм для дверей POSEIDON,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Доборы,1,1,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,2262,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,,________________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/________________________________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/________________________________________1.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,Размер,,,1,1,Добор крем матовый прямой ПВХ 250 мм для дверей POSEIDON,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Пороги,1,1,Порог ДПК для дверей POSEIDON белый,,756,Порог ДПК для дверей POSEIDON белый,,Порог ДПК для дверей POSEIDON белый,,full________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/full________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/full________________1.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Порог ДПК для дверей POSEIDON белый,Размер,,,1,1,Порог ДПК для дверей POSEIDON белый,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Пороги,1,1,Порог ДПК для дверей POSEIDON серый,,800,Порог ДПК для дверей POSEIDON серый,,Порог ДПК для дверей POSEIDON серый,,____________________________________________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/____________________________________________________.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Порог ДПК для дверей POSEIDON серый,Размер,,,1,1,Порог ДПК для дверей POSEIDON серый,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Пороги,1,1,Порог ДПК для дверей POSEIDON крем матовый,,800,Порог ДПК для дверей POSEIDON крем матовый,,Порог ДПК для дверей POSEIDON крем матовый,,__________________________________________________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________________________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/__________________________________________________________.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Порог ДПК для дверей POSEIDON крем матовый,Размер,,,1,1,Порог ДПК для дверей POSEIDON крем матовый,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Пороги,1,1,Алюминиевый порог для дверей POSEIDON,,1350,,,,,full____________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/full____________________1.png,https://dvernoyton.com/components/com_jshopping/files/img_products/full____________________1.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,,Размер,,,1,1,,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
Погонаж,Серия,Дверные коробки,1,1,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,3780,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,,full________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/full________________.png,https://dvernoyton.com/components/com_jshopping/files/img_products/full________________.png,Цвет,,,,1,1,Наличник,,,1,1,Стоимость наличников,,1,1,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,Размер,,,1,1,Дверная коробка ДПК 75х40 для одностворчатых дверей POSEIDON белая,Дополнительные опции,,1,1,Кол-во створок,,1,1,Тип открывания,,1,1,Тип полотна,,1,1
